MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DE,MVM_PRSCRPTN_CN,SEXDSTN_FLAG_CD
"4","순천","성인","일반","61","관리자","3등급","20250203","준비운동:트레드밀에서 걷기 / 본운동:윗몸올리기 ,엎드려 버티기 / 정리운동:실내 자전거타기","M"
"1","안산","성인","일반","27","관리자","참가","20250203","준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:무릎 높여 제자리 달리기,앉았다 일어서기,달리기,윗몸 말아 올리기 / 정리운동:하지 루틴 스트레칭1,하지 루틴 스트레칭2,전신 루틴 스트레칭","M"
"2","성동","성인","일반","27","관리자","1등급","20250203","준비운동:턱걸이","M"
"1","제주","성인","일반","19","관리자","참가","20250203","준비운동:유산소 운동 전 동적 루틴 스트레칭,좌식생활자를 위한 동적 루틴 스트레칭  / 본운동:윗몸 말아 올리기,윗몸올리기 ,누워서 다리 들어올리기,누워서 팔 다리 동시에 들어올리기 / 정리운동:하지 루틴 스트레칭1,하지 루틴 스트레칭2,상지 루틴 스트레칭,전신 루틴 스트레칭","M"
"1","안산","성인","일반","20","관리자","3등급","20250203","준비운동:전신 루틴 스트레칭 / 본운동:턱걸이,매달려서 다리 들기,팔굽혀펴기,스텝퍼 오르내리기,누워서 엉덩이 들어올리기,달리기,엉덩이 스트레칭,넙다리 뒤쪽 스트레칭 / 정리운동:옆구리 스트레칭,넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭","M"
"2","KSPO광주","성인","일반","64","관리자","3등급","20250203","준비운동:하지 루틴 스트레칭1 / 본운동:손목 펴기/굽히기,탄력밴드 어깨 가쪽 돌림 ,서서 탄력밴드 당겨내리기/올리기 / 정리운동:전신 루틴 스트레칭","F"
"3","제주","성인","일반","24","관리자","3등급","20250203","준비운동:유산소 운동 전 동적 루틴 스트레칭,좌식생활자를 위한 동적 루틴 스트레칭 ,작은 공을 이용한 동적 루틴 스트레칭  / 본운동:맨몸운동  루틴프로그램,바운딩 운동  루틴프로그램,박스 운동  루틴프로그램,웨이트 트레이닝  루틴프로그램 / 정리운동:하지 루틴 스트레칭1,하지 루틴 스트레칭2,상지 루틴 스트레칭,전신 루틴 스트레칭","M"
"1","부천","성인","일반","19","관리자","3등급","20250203","준비운동:달리기,실내 자전거타기,트레드밀에서 걷기 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,서서 뒤꿈치 들기,한발 서서 균형잡기 / 정리운동:하지 루틴 스트레칭1,상지 루틴 스트레칭,전신 루틴 스트레칭","M"
"1","스포원(금정)","성인","일반","63","관리자","참가","20250203","준비운동:전신 루틴 스트레칭 / 본운동:엉덩이 스트레칭,넙다리 뒤쪽 스트레칭,자가근막이완술 루틴 스트레칭,소파를 이용한 윗몸올리기,엎드려 버티기,옆으로 누워 버티기,누워서 엉덩이 들어올리기 / 정리운동:상지 루틴 스트레칭,하지 루틴 스트레칭1,하지 루틴 스트레칭2","F"
"1","창원","청소년","일반","18","관리자","참가","20250203","준비운동:나비자세,왜가리 자세,다리자세,몸통 스트레칭 / 본운동:팔굽혀 펴기,앉아서 당겨 내리기,앉았다 일어서기,앞굽이 앉았다 일어서기 / 정리운동:다리굽혀 허리 비틀기,옆구리 스트레칭,척추 들어올리기,엎드려 상체 들어올리기","M"
"2","미추홀","어르신","일반","65","관리자","3등급","20250203","준비운동:거북이 스트레칭 / 본운동:꼬리를 떼어요,점핑점핑해요,줄넘기 해요,영차영차 올라요,빌리보를 밀어요,끌어요 당겨요,알록달록 공을 옮겨요,공 받고 던져요 / 정리운동:흔들어 체조","M"
"1","부천","성인","일반","19","관리자","참가","20250203","준비운동:달리기,실외 자전거타기,실내 자전거타기 / 본운동:턱걸이,바벨 끌어당기기,매달려서 다리 들기 / 정리운동:하지 루틴 스트레칭1,상지 루틴 스트레칭,전신 루틴 스트레칭","M"
"1","순천","성인","일반","37","관리자","참가","20250203","준비운동:트레드밀에서 걷기 / 본운동:달리기,계단 뛰어 오르기 / 정리운동:실내 자전거타기","M"
"1","스포원(금정)","성인","일반","19","관리자","참가","20250203","준비운동:전신 루틴 스트레칭 / 본운동:윗몸올리기 ,누워서 다리 좌우로 움직이기,달리기,줄넘기,무릎 높여 제자리 달리기 / 정리운동:하지 루틴 스트레칭2,상지 루틴 스트레칭","M"
